,ID,Title,Year,Runtime,Genres,AvgRating,VoteCount,Directors,Producers,Writers,Actors
1203,tt0381849,3:10 to Yuma,2007.0,122,"Action,Crime,Drama",7.7,324132.0,James Mangold,Cathy Konrad,"Halsted Welles, Michael Brandt, Derek Haas, Elmore Leonard","Russell Crowe, Christian Bale, Ben Foster, Logan Lerman"
1204,tt0381940,Cargo,2009.0,112,"Drama,Mystery,Sci-Fi",6.1,19943.0,"Ivan Engler,Ralph Etter",,"Johnny Hartmann, Arnold Bucher, Patrik Steinmann, Thilo Röscheisen","Anna Katharina Schwabroh, Martin Rapold, Regula Grauwiller, Yangzom Brauen"
1205,tt0381971,Curious George,2006.0,87,"Adventure,Animation,Comedy",6.5,17579.0,Matthew O'Callaghan,Ron Howard,"Ken Kaufman, Mike Werb, Margret Rey, H.A. Rey","Will Ferrell, Drew Barrymore, Eugene Levy, Frank Welker"
1206,tt0382077,Hide and Seek,2005.0,101,"Horror,Mystery",5.9,87548.0,John Polson,Barry Josephson,Ari Schlossberg,"Robert De Niro, Dakota Fanning, Famke Janssen, Elisabeth Shue"
1207,tt0382189,My Summer of Love,2004.0,86,"Drama,Romance",6.7,21357.0,Pawel Pawlikowski,"Chris Collins, Tanya Seghatchian","Helen Cross, Michael Wynne","Natalie Press, Emily Blunt, Paddy Considine, Dean Andrews"
1208,tt0382190,Beyond the Sea,2004.0,80,Documentary,,,Lisandro Perez-Rey,,,
1209,tt0382330,As It Is in Heaven,2004.0,133,"Comedy,Drama,Music",7.5,17930.0,Kay Pollak,Anders Birkeland,"Anders Nyberg, Ola Olsson, Carin Pollak, Margaretha Pollak","Michael Nyqvist, Frida Hallgren, Helen Sjöholm, Lennart Jähkel"
1210,tt0382625,The Da Vinci Code,2006.0,149,"Mystery,Thriller",6.6,448610.0,Ron Howard,"John Calley, Brian Grazer","Akiva Goldsman, Dan Brown","Tom Hanks, Audrey Tautou, Jean Reno, Ian McKellen"
1211,tt0382628,Dark Water,2005.0,105,"Drama,Horror,Mystery",5.6,64541.0,Walter Salles,Doug Davison,"Kôji Suzuki, Hideo Nakata, Takashige Ichise, Rafael Yglesias","Jennifer Connelly, Ariel Gade, John C. Reilly, Tim Roth"
1212,tt0382649,The Gift,2003.0,80,Drama,7.0,230.0,Michelangelo Frammartino,,,"Angelo Frammartino, Gabriella Maiolo"
